"Site","Traitement","Correlation"
"1","arch.us","Control",0.0673754941992636
"2","arch.us","NPK",0.731129500141822
"3","arch.us","Fence",0.874121015518401
"4","arch.us","NPK+Fence",0.431303818273297
"5","badlau.de","Control",0.995502920233208
"6","badlau.de","NPK",0.913193258140669
"7","badlau.de","Fence",NA
"8","badlau.de","NPK+Fence",NA
"9","bldr.us","Control",1
"10","bldr.us","NPK",1
"11","bldr.us","Fence",1
"12","bldr.us","NPK+Fence",1
"13","bnch.us","Control",0.427491304316841
"14","bnch.us","NPK",0.898823833524597
"15","bnch.us","Fence",0.422884174589778
"16","bnch.us","NPK+Fence",0.59131658487825
"17","bogong.au","Control",0.869287691094891
"18","bogong.au","NPK",0.967955679411828
"19","bogong.au","Fence",0.70465808793737
"20","bogong.au","NPK+Fence",0.329875009095416
"21","burrawan.au","Control",0.399987091185737
"22","burrawan.au","NPK",0.920947003442711
"23","burrawan.au","Fence",0.500202411022568
"24","burrawan.au","NPK+Fence",0.552655030069499
"25","cbgb.us","Control",0.242305801588514
"26","cbgb.us","NPK",0.488948254428002
"27","cbgb.us","Fence",0.419781679575278
"28","cbgb.us","NPK+Fence",0.89091705821352
"29","cdcr.us","Control",0.361352280255342
"30","cdcr.us","NPK",0.360123687416339
"31","cdcr.us","Fence",0.625013440765868
"32","cdcr.us","NPK+Fence",0.250048785520938
"33","cdpt.us","Control",0.486561174232851
"34","cdpt.us","NPK",0.372803622742394
"35","cdpt.us","Fence",0.576948468759338
"36","cdpt.us","NPK+Fence",0.185980839280586
"37","cereep.fr","Control",0.200511570354273
"38","cereep.fr","NPK",NA
"39","cereep.fr","Fence",0.323553910421843
"40","cereep.fr","NPK+Fence",NA
"41","chilcas.ar","Control",0.843511605986438
"42","chilcas.ar","NPK",0.998143855015129
"43","chilcas.ar","Fence",0.977839092819618
"44","chilcas.ar","NPK+Fence",0.179544374009543
"45","comp.pt","Control",0.534745860162313
"46","comp.pt","NPK",0.25408021035771
"47","comp.pt","Fence",0.857342658995
"48","comp.pt","NPK+Fence",0.97851337440252
"49","cowi.ca","Control",0.654419968750693
"50","cowi.ca","NPK",0.87482846913974
"51","cowi.ca","Fence",0.758650859176585
"52","cowi.ca","NPK+Fence",0.573976116966473
"53","doane.us","Control",1
"54","doane.us","NPK",1
"55","doane.us","Fence",NA
"56","doane.us","NPK+Fence",NA
"57","elliot.us","Control",0.596493307594649
"58","elliot.us","NPK",0.274942863309796
"59","elliot.us","Fence",0.430761577724511
"60","elliot.us","NPK+Fence",0.379662995885422
"61","ethass.au","Control",NA
"62","ethass.au","NPK",0.252972743247795
"63","ethass.au","Fence",0.643248860812691
"64","ethass.au","NPK+Fence",0.626585092603458
"65","frue.ch","Control",0.354695926058085
"66","frue.ch","NPK",0.216888157759899
"67","frue.ch","Fence",0.499985021857734
"68","frue.ch","NPK+Fence",0.23831436265639
"69","glcr.us","Control",0.825547344597043
"70","glcr.us","NPK",0.70047918284916
"71","glcr.us","Fence",0.253202841857926
"72","glcr.us","NPK+Fence",0.916096509219283
"73","hall.us","Control",0.618283530069316
"74","hall.us","NPK",0.927784835129898
"75","hall.us","Fence",0.989586672260937
"76","hall.us","NPK+Fence",0.229658166471434
"77","hero.uk","Control",NA
"78","hero.uk","NPK",NA
"79","hero.uk","Fence",NA
"80","hero.uk","NPK+Fence",NA
"81","hopl.us","Control",0.0723321028927599
"82","hopl.us","NPK",0.0700784014276467
"83","hopl.us","Fence",0.849364733626136
"84","hopl.us","NPK+Fence",0.369058164022247
"85","jena.de","Control",0.845337590261394
"86","jena.de","NPK",0.919774158370626
"87","jena.de","Fence",NA
"88","jena.de","NPK+Fence",NA
"89","kbs.us","Control",0.499951852001305
"90","kbs.us","NPK",0.713586310657122
"91","kbs.us","Fence",0.608349449899
"92","kbs.us","NPK+Fence",0.120424187057654
"93","kibber.in","Control",0.243441627612725
"94","kibber.in","NPK",0.953818492490123
"95","kibber.in","Fence",0.595165439546759
"96","kibber.in","NPK+Fence",0.211255544357069
"97","kilp.fi","Control",0.778185842288432
"98","kilp.fi","NPK",0.65165646843575
"99","kilp.fi","Fence",0.603766838327509
"100","kilp.fi","NPK+Fence",0.746661985764732
"101","kiny.au","Control",0.570469315117638
"102","kiny.au","NPK",0.271840158520989
"103","kiny.au","Fence",0.198659965259906
"104","kiny.au","NPK+Fence",0.552014068032671
"105","koffler.ca","Control",0.425564436938464
"106","koffler.ca","NPK",0.212226407526325
"107","koffler.ca","Fence",0.736702436202116
"108","koffler.ca","NPK+Fence",0.528167381869607
"109","konz.us","Control",0.859645476715627
"110","konz.us","NPK",0.0640537535412915
"111","konz.us","Fence",0.888064710814672
"112","konz.us","NPK+Fence",0.187804271726385
"113","lagoas.br","Control",0.225230792878439
"114","lagoas.br","NPK",0.529693441713679
"115","lagoas.br","Fence",0.992170048470828
"116","lagoas.br","NPK+Fence",0.674268407621971
"117","lancaster.uk","Control",0.684831515977582
"118","lancaster.uk","NPK",0.977636896082915
"119","lancaster.uk","Fence",NA
"120","lancaster.uk","NPK+Fence",NA
"121","look.us","Control",0.716456475836044
"122","look.us","NPK",0.914317571894208
"123","look.us","Fence",0.811667851609935
"124","look.us","NPK+Fence",0.66778891068309
"125","marc.ar","Control",0.559829782698436
"126","marc.ar","NPK",0.691548506009389
"127","marc.ar","Fence",NA
"128","marc.ar","NPK+Fence",NA
"129","mcla.us","Control",0.980542079376258
"130","mcla.us","NPK",0.938276867797109
"131","mcla.us","Fence",0.686917958329386
"132","mcla.us","NPK+Fence",0.897409848712237
"133","msum.us","Control",0.0509252656094831
"134","msum.us","NPK",0.0799326598264709
"135","msum.us","Fence",NA
"136","msum.us","NPK+Fence",NA
"137","mtca.au","Control",0.372701518498098
"138","mtca.au","NPK",0.555057041227918
"139","mtca.au","Fence",0.70196980921299
"140","mtca.au","NPK+Fence",0.506705139492469
"141","nilla.au","Control",0.993970358592347
"142","nilla.au","NPK",0.619386851332149
"143","nilla.au","Fence",0.495463600177133
"144","nilla.au","NPK+Fence",0.297725358172285
"145","pape.de","Control",NA
"146","pape.de","NPK",NA
"147","pape.de","Fence",NA
"148","pape.de","NPK+Fence",NA
"149","ping.au","Control",0.377948420676243
"150","ping.au","NPK",0.238628630197329
"151","ping.au","Fence",0.901405168839778
"152","ping.au","NPK+Fence",0.262356130294148
"153","potrok.ar","Control",0.99929161872275
"154","potrok.ar","NPK",0.96340662773526
"155","potrok.ar","Fence",0.999752520863409
"156","potrok.ar","NPK+Fence",0.995452251623237
"157","rook.uk","Control",0.165730141163461
"158","rook.uk","NPK",0.255777624269122
"159","rook.uk","Fence",0.954922653916339
"160","rook.uk","NPK+Fence",0.799838499964896
"161","saana.fi","Control",0.684231654105118
"162","saana.fi","NPK",0.842385206957779
"163","saana.fi","Fence",0.727361659554824
"164","saana.fi","NPK+Fence",0.985603337451459
"165","sage.us","Control",0.850255321308188
"166","sage.us","NPK",0.275621149165107
"167","sage.us","Fence",0.92279170171165
"168","sage.us","NPK+Fence",0.782742749007367
"169","sedg.us","Control",0.30261286808374
"170","sedg.us","NPK",0.817120409971981
"171","sedg.us","Fence",NA
"172","sedg.us","NPK+Fence",NA
"173","sevi.us","Control",0.598088621831502
"174","sevi.us","NPK",0.54106432179929
"175","sevi.us","Fence",NA
"176","sevi.us","NPK+Fence",NA
"177","sgs.us","Control",0.405399399886342
"178","sgs.us","NPK",NA
"179","sgs.us","Fence",NA
"180","sgs.us","NPK+Fence",1
"181","shps.us","Control",0.303294805851909
"182","shps.us","NPK",0.229770741057015
"183","shps.us","Fence",0.956316976998637
"184","shps.us","NPK+Fence",0.123232491722673
"185","sier.us","Control",0.977964942888836
"186","sier.us","NPK",0.457227075206338
"187","sier.us","Fence",0.357149401569549
"188","sier.us","NPK+Fence",0.570912997899891
"189","smith.us","Control",0.376654147438838
"190","smith.us","NPK",0.461938269973713
"191","smith.us","Fence",0.190220511407876
"192","smith.us","NPK+Fence",0.726962901671461
"193","spin.us","Control",0.488067209122269
"194","spin.us","NPK",0.60119984159714
"195","spin.us","Fence",0.85001726655437
"196","spin.us","NPK+Fence",0.987284637986847
"197","temple.us","Control",NA
"198","temple.us","NPK",NA
"199","temple.us","Fence",NA
"200","temple.us","NPK+Fence",NA
"201","trel.us","Control",0.91602836751016
"202","trel.us","NPK",0.690891805502686
"203","trel.us","Fence",0.811742080751594
"204","trel.us","NPK+Fence",0.819936625261552
"205","ufrec.us","Control",NA
"206","ufrec.us","NPK",NA
"207","ufrec.us","Fence",NA
"208","ufrec.us","NPK+Fence",NA
"209","ukul.za","Control",0.648188057355461
"210","ukul.za","NPK",0.646298198256105
"211","ukul.za","Fence",NA
"212","ukul.za","NPK+Fence",NA
"213","valm.ch","Control",0.819173297862453
"214","valm.ch","NPK",0.710637514117947
"215","valm.ch","Fence",0.705617543645046
"216","valm.ch","NPK+Fence",0.830112487435664
"217","wupatki.us","Control",0.382555377092141
"218","wupatki.us","NPK",0.991360253802856
"219","wupatki.us","Fence",0.99685576431456
"220","wupatki.us","NPK+Fence",0.993237268939522
"221","yarra.au","Control",0.621404417265577
"222","yarra.au","NPK",0.589678192467959
"223","yarra.au","Fence",0.688134434927257
"224","yarra.au","NPK+Fence",0.783956153812727
